FECHA (YYMMDD);HORA (HHMM);;
180214;0000;12,5;
180214;0100;12,2;
180214;0200;12,2;
180214;0300;12,2;
180214;0400;11,9;
180214;0500;11,5;
180214;0600;11,1;
180214;0700;11,7;
180214;0800;14,1;
180214;0900;16,4;
180214;1000;19,1;
180214;1100;21,9;
180214;1200;24,3;
180214;1300;26,8;
180214;1400;28,7;
180214;1500;28,9;
180214;1600;28,1;
180214;1700;26,1;
180214;1800;22,8;
180214;1900;19,7;
180214;2000;16,8;
180214;2100;15,7;
180214;2200;15,2;
180214;2300;14,9;
180215;0000;14,9;
180215;0100;14,7;
180215;0200;14,1;
180215;0300;13,9;
180215;0400;14;
180215;0500;14,1;
180215;0600;14,2;
180215;0700;14,4;
180215;0800;15;
180215;0900;16,1;
180215;1000;18,2;
180215;1100;21,1;
180215;1200;23,8;
180215;1300;26,4;
180215;1400;26,7;
180215;1500;26,5;
180215;1600;26,1;
180215;1700;24,3;
180215;1800;21,7;
180215;1900;19,6;
180215;2000;17,6;
180215;2100;16,4;
180215;2200;15,5;
180215;2300;15,5;
180216;0000;15,8;
180216;0100;15,9;
180216;0200;15,9;
180216;0300;15,9;
180216;0400;15,8;
180216;0500;15,4;
180216;0600;15,3;
180216;0700;15,3;
180216;0800;15,6;
180216;0900;16,1;
180216;1000;17,5;
180216;1100;20,2;
180216;1200;23,1;
180216;1300;25,3;
180216;1400;27,5;
180216;1500;28,6;
180216;1600;29,6;
180216;1700;27,5;
180216;1800;23,7;
180216;1900;20,8;
180216;2000;18,2;
180216;2100;16,9;
180216;2200;16,2;
180216;2300;15,9;
180217;0000;16,5;
180217;0100;16,6;
180217;0200;16,6;
180217;0300;16,6;
180217;0400;16,5;
180217;0500;16,4;
180217;0600;16,2;
180217;0700;16;
180217;0800;15,9;
180217;0900;16,5;
180217;1000;18,6;
180217;1100;21,7;
180217;1200;24,1;
180217;1300;26,2;
180217;1400;27;
180217;1500;27,2;
180217;1600;27;
180217;1700;26,2;
180217;1800;24,3;
180217;1900;22,2;
180217;2000;20,7;
180217;2100;19,9;
180217;2200;19,1;
180217;2300;18,5;
180218;0000;18,1;
180218;0100;18;
180218;0200;17,6;
180218;0300;17;
180218;0400;17,4;
180218;0500;17,3;
180218;0600;17;
180218;0700;17,2;
180218;0800;17,9;
180218;0900;19,5;
180218;1000;20,7;
180218;1100;21,5;
180218;1200;22,7;
180218;1300;23,3;
180218;1400;24,1;
180218;1500;24,4;
180218;1600;24,3;
180218;1700;23;
180218;1800;21,2;
180218;1900;19,2;
180218;2000;17,6;
180218;2100;17;
180218;2200;15,6;
180218;2300;14,6;
180219;0000;14,3;
180219;0100;13,9;
180219;0200;13,3;
180219;0300;13,2;
180219;0400;13,6;
180219;0500;13,2;
180219;0600;12,8;
180219;0700;13,4;
180219;0800;15,6;
180219;0900;19,6;
180219;1000;21,4;
180219;1100;23,2;
180219;1200;22,2;
180219;1300;18,4;
180219;1400;17;
180219;1500;15,9;
180219;1600;15,6;
180219;1700;14,1;
180219;1800;13;
180219;1900;12,8;
180219;2000;12,7;
180219;2100;12,1;
180219;2200;11,8;
180219;2300;11,8;
180220;0000;11,7;
180220;0100;11,8;
180220;0200;12,1;
180220;0300;12,3;
180220;0400;12,5;
180220;0500;12,6;
180220;0600;12,5;
180220;0700;12,6;
180220;0800;13,3;
180220;0900;14,9;
180220;1000;17,1;
180220;1100;18,4;
180220;1200;20,3;
180220;1300;21,3;
180220;1400;21,8;
180220;1500;23;
180220;1600;24;
180220;1700;22,9;
180220;1800;23,6;
180220;1900;20,8;
180220;2000;17,2;
180220;2100;15,2;
180220;2200;14;
180220;2300;13;
180221;0000;12,1;
180221;0100;11,6;
180221;0200;10;
180221;0300;10,1;
180221;0400;9,8;
180221;0500;9,10001;
180221;0600;8,8;
180221;0700;9,89999;
180221;0800;14,1;
180221;0900;16,9;
180221;1000;19,5;
180221;1100;21,2;
180221;1200;23,3;
180221;1300;24,5;
180221;1400;23,4;
180221;1500;22,2;
180221;1600;19,6;
180221;1700;18,4;
180221;1800;18,3;
180221;1900;17,4;
180221;2000;16,7;
180221;2100;16,2;
180221;2200;15,7;
180221;2300;15,2;
180222;0000;14,7;
180222;0100;14,5;
180222;0200;14,2;
180222;0300;13,8;
180222;0400;13,5;
180222;0500;13,6;
180222;0600;13,7;
180222;0700;14,3;
180222;0800;15,4;
180222;0900;16,2;
180222;1000;17,6;
180222;1100;18,1;
180222;1200;18,5;
180222;1300;18,1;
180222;1400;18,1;
180222;1500;18,3;
180222;1600;18,1;
180222;1700;17,4;
180222;1800;17;
180222;1900;16,6;
180222;2000;16,1;
180222;2100;15,7;
180222;2200;15,1;
180222;2300;14,8;
180223;0000;14,6;
180223;0100;14,2;
180223;0200;14,2;
180223;0300;13,8;
180223;0400;13,5;
180223;0500;13,4;
180223;0600;13,3;
180223;0700;13,6;
180223;0800;14,7;
180223;0900;17,2;
180223;1000;19,1;
180223;1100;21,4;
180223;1200;23,6;
