FECHA (YYMMDD);HORA (HHMM);
180207;1500;3,5
180207;1600;4,1
180207;1700;5
180207;1800;5,3
180207;1900;4,8
180207;2000;2,6
180207;2100;1,8
180207;2200;0,9
180207;2300;0,5
180208;0;0,5
180208;100;0,2
180208;200;0,5
180208;300;0,3
180208;400;0,1
180208;500;0,3
180208;600;0,7
180208;700;1
180208;800;0,8
180208;900;1
180208;1000;1,6
180208;1100;2,4
180208;1200;4,5
180208;1300;5,2
180208;1400;6,2
180208;1500;4,8
180208;1600;5
180208;1700;4,3
180208;1800;3,7
180208;1900;2,9
180208;2000;1,5
180208;2100;0
180208;2200;0,7
180208;2300;1,6
180209;0;0,7
180209;100;0,2
180209;200;
180209;300;0
180209;400;0
180209;500;0
180209;600;0
180209;700;0,2
180209;800;1,1
180209;900;2,1
180209;1000;2,3
180209;1100;2,2
180209;1200;2
180209;1300;2,4
180209;1400;3,4
180209;1500;4,4
180209;1600;4,5
180209;1700;4
180209;1800;4,3
180209;1900;3,3
180209;2000;1,9
180209;2100;1,1
180209;2200;0,7
180209;2300;0,7
180210;0;0,3
180210;100;0
180210;200;0
180210;300;0
180210;400;0
180210;500;0,7
180210;600;0,7
180210;700;0,8
180210;800;0,7
180210;900;1,8
180210;1000;2,6
180210;1100;2,7
180210;1200;3,1
180210;1300;3
180210;1400;3,6
180210;1500;3,4
180210;1600;4,9
180210;1700;5,6
180210;1800;4,9
180210;1900;3,3
180210;2000;2,3
180210;2100;0,7
180210;2200;0,7
180210;2300;0,6
180211;0;0,2
180211;100;0,2
180211;200;0,2
180211;300;0,4
180211;400;0,7
180211;500;0,5
180211;600;0,4
180211;700;0,7
180211;800;1,5
180211;900;1,4
180211;1000;1,7
180211;1100;2
180211;1200;2,2
180211;1300;3
180211;1400;3,1
180211;1500;3,4
180211;1600;3,5
180211;1700;3,8
180211;1800;3,8
180211;1900;2,3
180211;2000;1,6
180211;2100;1,4
180211;2200;1,2
180211;2300;0,9
180212;0;0,4
180212;100;0,4
180212;200;0,4
180212;300;0,4
180212;400;0,6
180212;500;0,3
180212;600;0,3
180212;700;0,7
180212;800;1,6
180212;900;1,8
180212;1000;2,2
180212;1100;2,6
180212;1200;3
180212;1300;3,4
180212;1400;3,7
180212;1500;4
180212;1600;4,4
180212;1700;4,9
180212;1800;3,5
180212;1900;2,5
180212;2000;1,9
180212;2100;1
180212;2200;0,9
180212;2300;0,7
180213;0;0,4
180213;100;0,8
180213;200;0,6
180213;300;0,4
180213;400;0,5
180213;500;0,2
180213;600;0,2
180213;700;0,9
180213;800;1,1
180213;900;1,3
180213;1000;1,4
180213;1100;1,2
180213;1200;2
180213;1300;2,1
180213;1400;1,9
180213;1500;3,4
180213;1600;4
180213;1700;3,9
180213;1800;2,7
180213;1900;1,9
180213;2000;2,1
180213;2100;1,9
180213;2200;1,6
180213;2300;0,8
180214;0;1,1
180214;100;1,2
180214;200;1,2
180214;300;1,3
180214;400;1,2
180214;500;1,1
180214;600;0,6
180214;700;0,6
180214;800;1
180214;900;1
180214;1000;1,4
180214;1100;1,4
180214;1200;2,1
180214;1300;2,8
180214;1400;3,2
180214;1500;3,6
180214;1600;4,1
180214;1700;4
180214;1800;2,7
180214;1900;2,5
180214;2000;2,1
180214;2100;1,4
180214;2200;1,5
180214;2300;0,9
180215;0;1
180215;100;2
180215;200;1,2
180215;300;1,4
180215;400;0,9
180215;500;0,4
180215;600;0,7
180215;700;0,9
180215;800;1
180215;900;0,8
180215;1000;0,8
180215;1100;1,6
180215;1200;2
180215;1300;2,3
180215;1400;3,3
180215;1500;3,3
180215;1600;4
180215;1700;4,3
180215;1800;3,2
180215;1900;2,1
180215;2000;1,1
180215;2100;1,5
180215;2200;1
180215;2300;0,5
180216;0;0,9
180216;100;1,2
180216;200;1,1
180216;300;1,1
180216;400;0,8
180216;500;1,4
180216;600;0,5
180216;700;1,2
180216;800;1,1
180216;900;1,6
180216;1000;1,7
180216;1100;1,4
180216;1200;1,8
180216;1300;1,9
180216;1400;2,1
180216;1500;2,3
180216;1600;2,3
180216;1700;3,7
180216;1800;4
180216;1900;2,1
180216;2000;1,7
180216;2100;1,1
180216;2200;1
180216;2300;0,9
180217;0;0,7
180217;100;0,7
180217;200;1,2
180217;300;0,8
180217;400;0,9
180217;500;1
180217;600;0,9
180217;700;1,1
180217;800;1,2
180217;900;1
180217;1000;1,7
180217;1100;1,9
180217;1200;2,2
180217;1300;2,6
180217;1400;3
180217;1500;3,4
180217;1600;3,3
180217;1700;3,6
180217;1800;3,5
180217;1900;2,7
180217;2000;3,2
180217;2100;2,4
180217;2200;2,5
180217;2300;1,7
180218;0;0,7
180218;100;0,7
180218;200;0,3
180218;300;0,5
180218;400;1,6
180218;500;0,9
180218;600;0,4
180218;700;0,8
180218;800;1,1
180218;900;1,8
180218;1000;2
180218;1100;2,3
180218;1200;2,3
180218;1300;2,7
180218;1400;3
180218;1500;3
180218;1600;3,2
180218;1700;4,3
180218;1800;4,2
180218;1900;3,5
180218;2000;1,3
180218;2100;0,9
180218;2200;0,1
180218;2300;
180219;0;0,2
180219;100;0,1
180219;200;0,4
180219;300;0,9
180219;400;0,9
180219;500;1,2
180219;600;1,2
180219;700;0,9
180219;800;0,8
180219;900;1
180219;1000;1,2
180219;1100;1
180219;1200;1,3
180219;1300;1,9
180219;1400;2,7
180219;1500;2,1
180219;1600;2,2
180219;1700;2,6
180219;1800;1,3
180219;1900;0,5
180219;2000;2,1
180219;2100;1,8
180219;2200;1
180219;2300;0,9
180220;0;0,7
180220;100;0,7
180220;200;0,7
180220;300;0,5
180220;400;0,2
180220;500;0,2
180220;600;0,5
180220;700;0,6
180220;800;0,7
180220;900;1
180220;1000;1,3
180220;1100;1,5
180220;1200;1,5
180220;1300;1,4
180220;1400;1,1
180220;1500;1,2
180220;1600;1,1
180220;1700;1,2
180220;1800;0,7
180220;1900;2,6
180220;2000;1,1
180220;2100;0,8
180220;2200;0,7
180220;2300;0,5
180221;0;0,3
180221;100;0,5
180221;200;
180221;300;0,5
180221;400;0,1
180221;500;0,5
180221;600;0,3
180221;700;0,3
180221;800;0,6
180221;900;0,9
180221;1000;1,2
180221;1100;1
180221;1200;1,2
180221;1300;2
180221;1400;2,4
180221;1500;2,4
180221;1600;2,1
180221;1700;1,6
180221;1800;1,8
180221;1900;1,8
180221;2000;1
180221;2100;0,9
180221;2200;0,2
180221;2300;0
180222;0;0
180222;100;0,1
180222;200;0,1
180222;300;0,1
180222;400;0,1
180222;500;0,1
180222;600;0
180222;700;0,3
180222;800;0
180222;900;0,4
180222;1000;0,8
180222;1100;0,9
180222;1200;1,1
180222;1300;1,9
180222;1400;2,3
180222;1500;1,7
